task_id,skill,difficulty,question,answer,answer_type,comparison_objects,comparison_edges,comparison_depth,query_distance,noise_edges,boolean_var_count,boolean_op_count,boolean_not_count,imp_var_count,imp_edge_count,imp_base_true_count,imp_chain_depth,constraint_objects,constraint_count,constraint_depth,ap_length,ap_step,ap_abs_step,mp_multiplier,mp_length,cycle_len,cycle_offset,cycle_total_len,mixed_op_len,mixed_seq_len,division_base,division_steps,ratio_k,ratio_mode,square_base,square_offset,square_mode,near_boundary_anchor,near_boundary_op,crossed_boundary
PAT-CP-6-3-7,pattern,6,"16, 7, 16, 16, 7, 16, 16, ?",7,integer,,,,,,,,,,,,,,,,,,,,,3,0,7,,,,,,,,,,,,
LOG-BOOL-13-3-2,logical,13,"A is True.
B is True.
C is False.
What is: (NOT ((B AND A) OR (NOT C)))?",FALSE,boolean,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT-CP-7-3-6,pattern,7,"17, 14, 2, 17, 14, 2, ?",17,integer,,,,,,,,,,,,,,,,,,,,,3,0,6,,,,,,,,,,,,
LOG-COMP-15-8,logical,15,"C is taller than B.
 B is taller than G.
 E is taller than A.
 B is taller than E.
 D is taller than E.
 H is taller than E.
 B is taller than D.
 F is taller than C.
 F is taller than G.
 Is C taller than A?",yes,yesno,8,9,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-DIV-14,numerical,14,What is 810 divided by 90?,9,integer,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,,
NUM-SQUARE-16,numerical,16,What is 22^2?,484,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,near,,,
NUM-DIV-19,numerical,19,What is 1800 divided by 200?,9,integer,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,
LOG-CONSTRAINT-17-6-4,logical,17,"A is left of D.
E is left of B.
D is left of E.
F is left of A.
Is F left of A?",yes,yesno,,,,,,,,,,,,,6,4,5,,,,,,,,,,,,,,,,,,,,
PAT-MIXED-8-2-6-5,pattern,8,"12, 16, 19, 23, 26, ?",30,integer,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,
LOG-IMP-19-6-5,logical,19,"B is True.
A is True.
If B is True, then E is True.
If D is True, then E is True.
If F is True, then E is True.
If B is True, then C is True.
If C is True, then B is True.
Is E True?",yes,yesno,,,,,,,,,6,5,2,1,,,,,,,,,,,,,,,,,,,,,,,
LOG-BOOL-21-5-4,logical,21,"A is False.
B is False.
C is True.
D is False.
E is True.
What is: (NOT ((((D OR B) OR (NOT A)) AND D) OR (NOT A)))?",FALSE,boolean,,,,,,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-22,numerical,22,What is 1002 + 43?,1045,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,+,FALSE
LOG-BOOL-22-4-4,logical,22,"A is False.
B is True.
C is True.
D is False.
What is: ((((C AND C) OR (NOT A)) OR B) AND A)?",FALSE,boolean,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-24,numerical,24,What is 973 + 23?,996,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,+,FALSE
NUM-DIV-26,numerical,26,What is 3780 divided by 420?,9,integer,,,,,,,,,,,,,,,,,,,,,,,,,,42,3,,,,,,,,
NUM-SQUARE-27,numerical,27,What is 40^2?,1600,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,decompose,,,
NUM-SQUARE-31,numerical,31,What is 37^2?,1369,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,decompose,,,
LOG-CONSTRAINT-24-7-5,logical,24,"D is faster than E.
G is faster than F.
E is faster than F.
B is faster than D.
E is faster than A.
Is G faster than E?",no,yesno,,,,,,,,,,,,,7,5,4,,,,,,,,,,,,,,,,,,,,
LOG-IMP-25-8-7,logical,25,"E is True.
H is True.
If E is True, then C is True.
If F is True, then D is True.
If G is True, then C is True.
If A is True, then D is True.
If H is True, then D is True.
If E is True, then F is True.
If E is True, then D is True.
Is F True?",yes,yesno,,,,,,,,,8,7,2,1,,,,,,,,,,,,,,,,,,,,,,,
NUM-DIV-29,numerical,29,What is 3600 divided by 240?,15,integer,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,,,,,,,,
NUM-NEARBOUNDARY-31,numerical,31,What is 2044 + 37?,2081,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,+,FALSE
NUM-RATIO-MUL-33,numerical,33,"12 -> 96, 14 -> ?",112,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,multiply,,,,,,
LOG-IMP-26-7-8,logical,26,"A is True.
B is True.
If B is True, then E is True.
If F is True, then A is True.
If G is True, then E is True.
If E is True, then B is True.
If D is True, then E is True.
If G is True, then F is True.
If E is True, then D is True.
If C is True, then E is True.
Is F True?",no,yesno,,,,,,,,,7,8,2,,,,,,,,,,,,,,,,,,,,,,,,
NUM-SQUARE-34,numerical,34,What is 31^2?,961,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,decompose,,,
LOG-BOOL-28-4-5,logical,28,"A is False.
B is False.
C is True.
D is False.
What is: (((((D AND C) OR (NOT D)) OR A) OR C) OR (NOT D))?",TRUE,boolean,,,,,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-CONSTRAINT-30-8-8,logical,30,"F is above C.
H is above D.
D is above F.
C is above A.
B is above H.
F is above E.
B is above C.
B is above G.
Is E above H?",no,yesno,,,,,,,,,,,,,8,8,6,,,,,,,,,,,,,,,,,,,,
PAT-MP-0-8-2,pattern,0,"6, 12, 24, 48, 96, 192, 384, 768, ?",1536,integer,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,
PAT-MP-1-7-2,pattern,1,"4, 8, 16, 32, 64, 128, 256, ?",512,integer,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,
PAT-MP-3-7-2,pattern,3,"9, 18, 36, 72, 144, 288, 576, ?",1152,integer,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,
PAT-MP-4-9-2,pattern,4,"10, 20, 40, 80, 160, 320, 640, 1280, 2560, ?",5120,integer,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-0,numerical,0,What is 49 + 5?,54,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,+,True
LOG-COMP-0-4,logical,0,"D is taller than B.
 B is taller than A.
 D is taller than C.
 Is B taller than C?",no,yesno,4,3,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-RATIO-MUL-3,numerical,3,"8 -> 24, 5 -> ?",15,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,multiply,,,,,,
LOG-CONSTRAINT-3-3-2,logical,3,"A is faster than B.
C is faster than A.
Is A faster than B?",yes,yesno,,,,,,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,,
LOG-IMP-5-4-3,logical,5,"C is True.
A is True.
If A is True, then C is True.
If B is True, then C is True.
If A is True, then D is True.
Is B True?",no,yesno,,,,,,,,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,
LOG-COMP-7-4,logical,7,"C is larger than A.
 C is larger than B.
 D is larger than A.
 Is D larger than B?",no,yesno,4,3,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-DIV-5,numerical,5,What is 480 divided by 80?,6,integer,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,
LOG-IMP-10-5-4,logical,10,"C is True.
If D is True, then C is True.
If D is True, then B is True.
If E is True, then D is True.
If B is True, then D is True.
Is E True?",no,yesno,,,,,,,,,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,
PAT-MP-5-6-2,pattern,5,"9, 18, 36, 72, 144, 288, ?",576,integer,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,
NUM-SQUARE-7,numerical,7,What is 7^2?,49,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,near,,,
PAT-CP-6-3-7,pattern,6,"11, 10, 12, 11, 10, 12, 11, ?",10,integer,,,,,,,,,,,,,,,,,,,,,3,0,7,,,,,,,,,,,,
LOG-COMP-13-5,logical,13,"E is faster than D.
 A is faster than B.
 E is faster than C.
 D is faster than A.
 C is faster than B.
 Is B faster than E?",no,yesno,5,5,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-CONSTRAINT-17-5-5,logical,17,"D is above C.
C is above B.
A is above D.
D is above B.
A is above E.
Is D above C?",yes,yesno,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,
PAT-MP-7-6-2,pattern,7,"10, 20, 40, 80, 160, 320, ?",640,integer,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-10,numerical,10,What is 199 + 8?,207,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,+,True
NUM-NEARBOUNDARY-12,numerical,12,What is 215 - 16?,199,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,-,True
NUM-NEARBOUNDARY-15,numerical,15,What is 193 - 5?,188,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,-,False
NUM-RATIO-MUL-17,numerical,17,"12 -> 48, 16 -> ?",64,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,multiply,,,,,,
NUM-NEARBOUNDARY-18,numerical,18,What is 483 + 37?,520,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,+,True
LOG-CONSTRAINT-18-6-5,logical,18,"D is faster than E.
A is faster than C.
E is faster than F.
B is faster than A.
E is faster than C.
Is B faster than D?",no,yesno,,,,,,,,,,,,,6,5,3,,,,,,,,,,,,,,,,,,,,
LOG-CONSTRAINT-19-5-5,logical,19,"C is above B.
E is above B.
A is above E.
C is above E.
B is above A.
Is D above C?",no,yesno,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,
LOG-IMP-20-6-6,logical,20,"C is True.
A is True.
If C is True, then E is True.
If C is True, then A is True.
If F is True, then E is True.
If D is True, then F is True.
If F is True, then B is True.
If B is True, then F is True.
Is D True?",no,yesno,,,,,,,,,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,
NUM-DIV-20,numerical,20,What is 2200 divided by 200?,11,integer,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,,,,,,
PAT-MIXED-9-2-6-5,pattern,9,"12, 17, 51, 56, 168, ?",173,integer,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,
PAT-AP-11-6-10,pattern,11,"14, 9, 4, -1, -6, -11, ?",-16,integer,,,,,,,,,,,,,,,,6,-5,5,,,,,,,,,,,,,,,,,
LOG-CONSTRAINT-22-7-6,logical,22,"C is faster than G.
E is faster than B.
A is faster than D.
A is faster than G.
E is faster than D.
D is faster than G.
Is E faster than A?",no,yesno,,,,,,,,,,,,,7,6,3,,,,,,,,,,,,,,,,,,,,
NUM-RATIO-MUL-23,numerical,23,"19 -> 133, 25 -> ?",175,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,multiply,,,,,,
LOG-CONSTRAINT-24-7-5,logical,24,"C is left of D.
E is left of B.
G is left of E.
D is left of A.
B is left of A.
Is C left of F?",no,yesno,,,,,,,,,,,,,7,5,4,,,,,,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-24,numerical,24,What is 1010 - 41?,969,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,-,True
NUM-NEARBOUNDARY-25,numerical,25,What is 964 - 58?,906,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,-,False
LOG-BOOL-26-4-3,logical,26,"A is False.
B is True.
C is True.
D is False.
What is: (NOT (((B OR C) OR (NOT B)) OR D))?",False,boolean,,,,,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOG-CONSTRAINT-28-7-6,logical,28,"G is faster than A.
D is faster than C.
A is faster than E.
D is faster than F.
C is faster than E.
F is faster than A.
Is D faster than F?",yes,yesno,,,,,,,,,,,,,7,6,4,,,,,,,,,,,,,,,,,,,,
LOG-BOOL-29-4-5,logical,29,"A is True.
B is True.
C is False.
D is True.
What is: (((((D OR C) OR (NOT C)) OR D) OR (NOT B)) AND A)?",True,boolean,,,,,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-27,numerical,27,What is 1032 - 13?,1019,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,-,False
LOG-BOOL-31-6-3,logical,31,"A is True.
B is True.
C is False.
D is True.
E is False.
F is False.
What is: (NOT (((B AND F) OR B) AND F))?",True,boolean,,,,,,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT-AP-12-6-10,pattern,12,"32, 33, 34, 35, 36, 37, ?",38,integer,,,,,,,,,,,,,,,,6,1,1,,,,,,,,,,,,,,,,,
NUM-NEARBOUNDARY-29,numerical,29,What is 1964 + 98?,2062,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,+,True
NUM-NEARBOUNDARY-30,numerical,30,What is 1015 + 43?,1058,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,+,False
PAT-AP-14-5-10,pattern,14,"29, 39, 49, 59, 69, ?",79,integer,,,,,,,,,,,,,,,,5,10,10,,,,,,,,,,,,,,,,,
LOG-IMP-33-7-8,logical,33,"D is True.
G is True.
If C is True, then A is True.
If F is True, then E is True.
If D is True, then B is True.
If E is True, then D is True.
If A is True, then E is True.
If B is True, then D is True.
If G is True, then F is True.
If F is True, then G is True.
Is B True?",yes,yesno,,,,,,,,,7,8,2,1,,,,,,,,,,,,,,,,,,,,,,,
NUM-SQUARE-32,numerical,32,What is 20^2?,400,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5,decompose,,,
LOG-COMP-36-9,logical,36,"H is older than B.
 E is older than F.
 F is older than H.
 G is older than A.
 H is older than D.
 I is older than H.
 C is older than E.
 G is older than I.
 A is older than F.
 G is older than B.
 F is older than I.
 Is C older than D?",yes,yesno,9,11,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
